CRN|Course Code|Course Number|Course Name|Academician|Exam Type|Exam Location|Day|Time|Date|Branch Code
30160|FIZ|102E|Physics II|Yakup Hundur|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D201, Ayazağa/Fen-Edebiyat Binası-D202|Pazartesi|15:00-17:00|18 Ağustos 2025|FIZ
30161|FIZ|102E|Physics II|Yakup Hundur|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D203, Ayazağa/Fen-Edebiyat Binası-D204, Ayazağa/Fen-Edebiyat Binası-D205|Pazartesi|15:00-17:00|18 Ağustos 2025|FIZ
30163|FIZ|201E|Modern Physics|Mehmet Murat Sunar|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D102|Perşembe|15:00-17:00|21 Ağustos 2025|FIZ
30177|GEO|308|Taşınmaz Değerlemesi|Reha Metin Alkan|Final Sınavı|Ayazağa/İnşaat Binası-B305|Salı|15:00-17:00|19 Ağustos 2025|GEO
30178|GEO|476|Geo. Müh. Proje Planlama Yön.|Reha Metin Alkan|Final Sınavı|Ayazağa/İnşaat Binası-B305|Perşembe|12:00-14:00|21 Ağustos 2025|GEO
30179|GEO|212E|Engineering Surveying|Mehmet İşiler|Final Sınavı|Ayazağa/İnşaat Binası-B101, Ayazağa/İnşaat Binası-B103|Perşembe|09:00-11:00|21 Ağustos 2025|GEO
30180|GEM|445|Gemi Boru Donanımları|Osman Azmi Özsoysal|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-1D10, Ayazağa/Merkezi Derslik C Binası-2D18|Pazartesi|09:00-11:00|18 Ağustos 2025|GEM
30181|GEO|225E|Prob.and Stat. for Geom. Eng.|Mehmet İşiler|Final Sınavı|Ayazağa/İnşaat Binası-B101|Pazartesi|12:00-14:00|18 Ağustos 2025|GEO
30182|GEO|322E|Land Management|Mehmet İşiler|Final Sınavı|Ayazağa/İnşaat Binası-A103|Cuma|09:00-11:00|22 Ağustos 2025|GEO
30189|ATA|121|Atatürk İlk & İnkılap Trh I|Çağdaş Taylan Salın|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A11|Perşembe|09:00-11:00|21 Ağustos 2025|ATA
30190|ATA|121|Atatürk İlk & İnkılap Trh I|Çağdaş Taylan Salın|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A12, Ayazağa/Merkezi Derslik Binası-A13|Perşembe|09:00-11:00|21 Ağustos 2025|ATA
30191|ATA|122|Atatürk İlk & İnkılap Trh II|Çağdaş Taylan Salın|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A11, Ayazağa/Merkezi Derslik Binası-A12|Perşembe|15:00-17:00|21 Ağustos 2025|ATA
30192|ATA|122|Atatürk İlk & İnkılap Trh II|Çağdaş Taylan Salın|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A13, Ayazağa/Merkezi Derslik Binası-A14|Perşembe|15:00-17:00|21 Ağustos 2025|ATA
30193|ATA|121|Atatürk İlk & İnkılap Trh I|Pelin Helvacı|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A14, Ayazağa/Merkezi Derslik Binası-A15|Perşembe|09:00-11:00|21 Ağustos 2025|ATA
30194|ATA|122|Atatürk İlk & İnkılap Trh II|Pelin Helvacı|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A15, Ayazağa/Merkezi Derslik Binası-A16|Perşembe|15:00-17:00|21 Ağustos 2025|ATA
30195|MAT|271E|Probability and Statistics|Mustafa Sait Yazgan|Final Sınavı|Ayazağa/İnşaat Binası-B104, Ayazağa/İnşaat Binası-D202|Cuma|15:00-17:00|22 Ağustos 2025|MAT
30196|MAT|271E|Probability and Statistics|Mustafa Sait Yazgan|Final Sınavı|Ayazağa/İnşaat Binası-A104, Ayazağa/İnşaat Binası-A204|Cuma|15:00-17:00|22 Ağustos 2025|MAT
30197|MAT|271E|Probability and Statistics|Mustafa Sait Yazgan|Final Sınavı|Ayazağa/İnşaat Binası-A102, Ayazağa/İnşaat Binası-D203|Cuma|15:00-17:00|22 Ağustos 2025|MAT
30198|DEN|325E|Adv. Manufacturing Process|Necip Ünlü|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-1D10|Salı|12:00-14:00|19 Ağustos 2025|DEN
30214|CHZ|318|Endüstriyel Hammaddeler|Murat Olgaç Kangal|Final Sınavı|Ayazağa/Maden Binası-A203|Perşembe|15:00-17:00|21 Ağustos 2025|CHZ
30215|TER|201|Termodinamik|Birgül Benli|Final Sınavı|Ayazağa/Maden Binası-A203|Salı|15:00-17:00|19 Ağustos 2025|TER
30216|MAT|202|Sayısal Yöntemler|Birgül Benli|Final Sınavı|Ayazağa/Maden Binası-A102|Cuma|09:00-11:00|22 Ağustos 2025|MAT
30217|CHZ|306|Cevher Haz.Akışkanlar Mek.|Birgül Benli|Final Sınavı|Ayazağa/Maden Binası-A203|Çarşamba|15:00-17:00|20 Ağustos 2025|CHZ
30218|BIL|112E|Intr.to Prog.Language(FORTRAN)|Doğa Doğan|Final Sınavı|Ayazağa/Maden Binası-315|Salı|12:00-14:00|19 Ağustos 2025|BIL
30239|IKZ|599|Dönem Projesi|Ayşe Elvan Bayraktaroğlu|Final Sınavı|İlgili Bölümce Açıklanacak|Pazartesi|09:00-11:00|18 Ağustos 2025|IKZ
30261|CEV|302E|Biological Processes|Rüya Taşlı|Final Sınavı|Ayazağa/İnşaat Binası-A102|Perşembe|15:00-17:00|21 Ağustos 2025|CEV
30264|CEV|347E|Unit Operations|Rüya Taşlı|Final Sınavı|Ayazağa/İnşaat Binası-A101|Salı|15:00-17:00|19 Ağustos 2025|CEV
30265|EEF|211|Elektrik Devre Temelleri|Metin Hüner|Final Sınavı|Ayazağa/Elektrik-Elektronik Binası-2102, Ayazağa/Elektrik-Elektronik Binası-2104, Ayazağa/Elektrik-Elektronik Binası-2106|Pazartesi|12:00-14:00|18 Ağustos 2025|EEF
30266|EEF|211E|Basics of Electrical Circuits|Bilgi Görkem Yazgaç|Final Sınavı|Ayazağa/Elektrik-Elektronik Binası-5101, Ayazağa/Elektrik-Elektronik Binası-5102, Ayazağa/Elektrik-Elektronik Binası-5103|Pazartesi|12:00-14:00|18 Ağustos 2025|EEF
30267|EEF|232E|Circuit and System Analysis|Bilgi Görkem Yazgaç|Final Sınavı|Ayazağa/Elektrik-Elektronik Binası-2102, Ayazağa/Elektrik-Elektronik Binası-2104, Ayazağa/Elektrik-Elektronik Binası-2106|Cuma|15:00-17:00|22 Ağustos 2025|EEF
30268|EEF|212E|Electromagnetic Theory I|Kamil Karaçuha|Final Sınavı|Ayazağa/Elektrik-Elektronik Binası-2102, Ayazağa/Elektrik-Elektronik Binası-2104, Ayazağa/Elektrik-Elektronik Binası-2106|Perşembe|12:00-14:00|21 Ağustos 2025|EEF
30269|EHB|335E|Analog Electronic Circuits|Mustafa Berke Yelten|Final Sınavı|Ayazağa/Elektrik-Elektronik Binası-4102, Ayazağa/Elektrik-Elektronik Binası-6309|Çarşamba|15:00-17:00|20 Ağustos 2025|EHB
30270|EHB|222E|Introduction to Electronics|Muhammet Tahir Güneşer|Final Sınavı|Ayazağa/Elektrik-Elektronik Binası-4102, Ayazağa/Elektrik-Elektronik Binası-6309|Cuma|09:00-11:00|22 Ağustos 2025|EHB
30271|UZB|318E|Finite Element Method|Vedat Ziya Doğan|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-1D10, Ayazağa/Merkezi Derslik C Binası-2D18|Cuma|09:00-11:00|22 Ağustos 2025|UZB
30272|EKO|201E|Economics|Sinan Çakır|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Perşembe|12:00-14:00|21 Ağustos 2025|EKO
30274|GMI|341E|Automatic Control Systems|Tayfun Uyanık|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Perşembe|15:00-17:00|21 Ağustos 2025|GMI
30275|GMI|457E|Marine Electrotechnics|Tayfun Uyanık|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Perşembe|09:00-11:00|21 Ağustos 2025|GMI
30276|GMI|462E|Oper.of Steam&Gas Turbines|Yalçın Durmuşoğlu|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Cuma|15:00-17:00|22 Ağustos 2025|GMI
30277|GMI|473E|Marine Diesel Engines III|Yalçın Durmuşoğlu|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Pazartesi|15:00-17:00|18 Ağustos 2025|GMI
30278|GMI|481E|Marine Insurance|Sinan Çakır|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Cuma|09:00-11:00|22 Ağustos 2025|GMI
30279|GMI|486E|Shipping Finance|Sinan Çakır|Final Sınavı|Tuzla/Denizcilik Binası-İlgili Bölümce Açıklanacak|Salı|09:00-11:00|19 Ağustos 2025|GMI
